Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
301/64 Eastern Beach Road ,GEELONG VIC 3220,GEELONG,VIC,3220,Penthouse,10-Feb-18,auction,1660000,3,2,1,0,Ray White Geelong,-38.1446226,144.3634141,64.15247745
1/10 Steel Street ,SPOTSWOOD VIC 3015,SPOTSWOOD,VIC,3015,Villa,30-May-22,auction,510000,2,1,2,0,Steele Sexton,-37.8261316,144.871645,8.149484062
206/11 Maude Street ,CHELTENHAM VIC 3192,CHELTENHAM,VIC,3192,New apartments / off the plan,25-Mar-22,private treaty,585000,1,1,1,0,Pitard Group,-37.9642605,145.0543024,18.5078654
3/45 Xavier Street ,OAK PARK VIC 3046,OAK PARK,VIC,3046,Villa,2-May-22,private treaty,725000,3,2,2,0,Oak Park Real Estate Pty Ltd,-37.7186961,144.9188487,11.31673201
1/20 Moodie Street ,CAULFIELD EAST VIC 3145,CAULFIELD EAST,VIC,3145,Apartment ,7-May-22,auction,705000,2,1,1,0, Gary Peer,-37.8822841,145.0488213,10.67361922
2/12 Doveton Avenue ,EUMEMMERRING VIC 3177,EUMEMMERRING,VIC,3177,Townhouse,8-Apr-22,private treaty,561000,3,2,1,0,Sisira Real Estate,-37.9944331,145.2508601,32.23919663
1/22 Hammerwood Avenue ,DERRIMUT VIC 3026,DERRIMUT,VIC,3026,Townhouse,6-Apr-22,private treaty,600000,3,2,1,0,UNKNOWN,-37.7924089,144.7674642,17.36899435
32 Sunnybrae Drive ,MERNDA VIC 3754,MERNDA,VIC,3754,Townhouse,7-Apr-22,auction,587000,3,2,2,0,Barry Plant Epping,-37.6098455,145.0837802,25.08798042
1/214 Glenlyon Road ,BRUNSWICK EAST VIC 3057,BRUNSWICK EAST,VIC,3057,Villa,29-Jun-22,private treaty,750000,2,2,2,0,Frank Dowling,-37.7729691,144.9743876,4.69298357
UNIT 907/20 SHAMROCK STREET ,ABBOTSFORD VIC 3067,ABBOTSFORD,VIC,3067,Apartment ,17-Mar-22,Another Method,545000,2,2,1,0,Property Now,-37.8045508,144.9988542,3.315828467
